attack,group,parameter_name,parameter_symbol,parameter_value,psnr_watermarked_vs_attacked,accuracy,ber,predicted_ones,threshold,blocks_used,available_blocks,start_x,start_y,phase_sign
wh_noise,noise,variance,Dξ,500,21.192247280725542,0.7755102040816326,0.22448979591836737,98,0.0,49,49,5,8,-1
wh_noise,noise,variance,Dξ,600,20.41995392371915,0.7755102040816326,0.22448979591836737,98,0.0,49,49,5,8,-1
wh_noise,noise,variance,Dξ,700,19.770895343336296,0.7755102040816326,0.22448979591836737,98,0.0,49,49,5,8,-1
wh_noise,noise,variance,Dξ,800,19.212234664977146,0.7448979591836735,0.2551020408163265,98,0.0,49,49,5,8,-1
wh_noise,noise,variance,Dξ,900,18.722041102860448,0.7448979591836735,0.2551020408163265,98,0.0,49,49,5,8,-1
wh_noise,noise,variance,Dξ,1000,18.286216730264655,0.7346938775510204,0.26530612244897955,98,0.0,49,49,5,8,-1
salt_pepper,noise,noise_fraction,q,0.05,18.434637779722816,0.7142857142857143,0.2857142857142857,98,0.0,49,49,5,8,-1
salt_pepper,noise,noise_fraction,q,0.1,15.429464132375617,0.6632653061224489,0.33673469387755106,98,0.0,49,49,5,8,-1
salt_pepper,noise,noise_fraction,q,0.15,13.666746092208555,0.5816326530612245,0.41836734693877553,98,0.0,49,49,5,8,-1
salt_pepper,noise,noise_fraction,q,0.2,12.431601249043727,0.5714285714285714,0.4285714285714286,98,-1.8214596497756474e-17,49,49,5,8,-1
salt_pepper,noise,noise_fraction,q,0.25,11.474338513347679,0.6020408163265306,0.3979591836734694,98,0.0,49,49,5,8,-1
salt_pepper,noise,noise_fraction,q,0.3,10.661369536001173,0.5816326530612245,0.41836734693877553,98,0.0,49,49,5,8,-1
salt_pepper,noise,noise_fraction,q,0.35,9.993688949378669,0.5918367346938775,0.40816326530612246,98,-6.938893903907228e-18,49,49,5,8,-1
salt_pepper,noise,noise_fraction,q,0.4,9.404776330206357,0.4897959183673469,0.5102040816326531,98,0.0,49,49,5,8,-1
salt_pepper,noise,noise_fraction,q,0.45,8.884770655102512,0.5408163265306123,0.4591836734693877,98,2.721347452938616e-17,49,49,5,8,-1
salt_pepper,noise,noise_fraction,q,0.5,8.449878299546471,0.5714285714285714,0.4285714285714286,98,0.0,49,49,5,8,-1
jpeg,compression,quality_factor,F,30,34.147637152634886,0.5816326530612245,0.41836734693877553,98,-2.7755575615628914e-17,49,49,5,8,-1
jpeg,compression,quality_factor,F,40,34.97844050146343,0.6224489795918368,0.37755102040816324,98,4.5672016515951874e-17,49,49,5,8,-1
jpeg,compression,quality_factor,F,50,35.6454958385232,0.6224489795918368,0.37755102040816324,98,0.0,49,49,5,8,-1
jpeg,compression,quality_factor,F,60,36.281043737414755,0.6836734693877551,0.3163265306122449,98,0.0,49,49,5,8,-1
jpeg,compression,quality_factor,F,70,37.14746198800023,0.7448979591836735,0.2551020408163265,98,-7.37257477290143e-17,49,49,5,8,-1
jpeg,compression,quality_factor,F,80,38.35289446378304,0.8163265306122449,0.18367346938775508,98,5.637851296924623e-17,49,49,5,8,-1
jpeg,compression,quality_factor,F,90,40.68139270219031,0.8979591836734694,0.10204081632653061,98,0.0,49,49,5,8,-1
